.css|text/css
.pdf|application/pdf
.ez|application/andrew-inset
.aw|application/applixware
.atom|application/atom+xml
.atomcat|application/atomcat+xml
.atomsvc|application/atomsvc+xml
.ccxml|application/ccxml+xml
.cu|application/cu-seeme
.davmount|application/davmount+xml
.ecma|application/ecmascript
.emma|application/emma+xml
.epub|application/epub+zip
.pfr|application/font-tdpfr
.gz, .tgz|application/gzip
.stk|application/hyperstudio
.jar|application/java-archive
.ser|application/java-serialized-object
.class|application/java-vm
.json|text/json|application/json
.lostxml|application/lost+xml
.hqx|application/mac-binhex40
.cpt|application/mac-compactpro
.mrc|application/marc
.ma, .mb, .nb|application/mathematica
.mathml, .mml|application/mathml+xml
.mbox|application/mbox
.mscml|application/mediaservercontrol+xml
.mp4s|application/mp4
.doc, .dot, .wiz|application/msword
.mxf|application/mxf
.a, .bin, .bpk, .deploy, .dist, .distz, .dmg, .dms, .dump, .elc, .iso, .lha, .lrf, .lzh, .o, .obj, .pkg, .so|application/octet-stream
.oda|application/oda
.opf|application/oebps-package+xml
.ogx|application/ogg
.onepkg, .onetmp, .onetoc, .onetoc2|application/onenote
.xer|application/patch-ops-error+xml
.pgp|application/pgp-encrypted
.asc, .sig|application/pgp-signature
.prf|application/pics-rules
.p10|application/pkcs10
.p7c, .p7m|application/x-pkcs7-certreqresp|application/pkcs7-mime
application/x-pkcs7-certificates
.p7s|application/pkcs7-signature
.cer|application/pkix-cert
.crl|application/pkix-crl
.pkipath|application/pkix-pkipath
.pki|application/pkixcmp
.pls|application/pls+xml
.ai, .eps, .ps|application/postscript
.prql|application/prql
.cww|application/prs.cww
.rdf|application/rdf+xml
.rif|application/reginfo+xml
.rnc|application/relax-ng-compact-syntax
.rl|application/resource-lists+xml
.rld|application/resource-lists-diff+xml
.rs|application/rls-services+xml
.rsd|application/rsd+xml
.rss, .xml|application/rss+xml
.rtf|application/rtf
.sbml|application/sbml+xml
.scq|application/scvp-cv-request
.scs|application/scvp-cv-response
.spq|application/scvp-vp-request
.spp|application/scvp-vp-response
.sdp|application/sdp
.setpay|application/set-payment-initiation
.setreg|application/set-registration-initiation
.shf|application/shf+xml
.smi, .smil|application/smil+xml
.rq|application/sparql-query
.srx|application/sparql-results+xml
.gram|application/srgs
.grxml|application/srgs+xml
.ssml|application/ssml+xml
.plb|application/vnd.3gpp.pic-bw-large
.psb|application/vnd.3gpp.pic-bw-small
.pvb|application/vnd.3gpp.pic-bw-var
.tcap|application/vnd.3gpp2.tcap
.pwn|application/vnd.3m.post-it-notes
.aso|application/vnd.accpac.simply.aso
.imp|application/vnd.accpac.simply.imp
.acu|application/vnd.acucobol
.acutc, .atc|application/vnd.acucorp
.air|application/vnd.adobe.air-application-installer-package+zip
.xdp|application/vnd.adobe.xdp+xml
.xfdf|application/vnd.adobe.xfdf
.azf|application/vnd.airzip.filesecure.azf
.azs|application/vnd.airzip.filesecure.azs
.azw|application/vnd.amazon.ebook
.acc|application/vnd.americandynamics.acc
.ami|application/vnd.amiga.ami
.apk|application/vnd.android.package-archive
.cii|application/vnd.anser-web-certificate-issue-initiation
.fti|application/vnd.anser-web-funds-transfer-initiation
.atx|application/vnd.antix.game-component
.mpkg|application/vnd.apple.installer+xml
.swi|application/vnd.arastra.swi
.aep|application/vnd.audiograph
.mpm|application/vnd.blueice.multipass
.bmi|application/vnd.bmi
.rep|application/vnd.businessobjects
.cdxml|application/vnd.chemdraw+xml
.mmd|application/vnd.chipnuts.karaoke-mmd
.cdy|application/vnd.cinderella
.cla|application/vnd.claymore
.c4d, .c4f, .c4g, .c4p, .c4u|application/vnd.clonk.c4group
.csp|application/vnd.commonspace
.cdbcmsg|application/vnd.contact.cmsg
.cmc|application/vnd.cosmocaller
.clkx|application/vnd.crick.clicker
.clkk|application/vnd.crick.clicker.keyboard
.clkp|application/vnd.crick.clicker.palette
.clkt|application/vnd.crick.clicker.template
.clkw|application/vnd.crick.clicker.wordbank
.wbs|application/vnd.criticaltools.wbs+xml
.pml|application/vnd.ctc-posml
.ppd|application/vnd.cups-ppd
.car|application/vnd.curl.car
.pcurl|application/vnd.curl.pcurl
.rdz|application/vnd.data-vision.rdz
.deb, .udeb|application/vnd.debian.binary-package
.fe_launch|application/vnd.denovo.fcselayout-link
.dna|application/vnd.dna
.mlp|application/vnd.dolby.mlp
.dpg|application/vnd.dpgraph
.dfac|application/vnd.dreamfactory
.geo|application/vnd.dynageo
.mag|application/vnd.ecowin.chart
.nml|application/vnd.enliven
.esf|application/vnd.epson.esf
.msf|application/vnd.epson.msf
.qam|application/vnd.epson.quickanime
.slt|application/vnd.epson.salt
.ssf|application/vnd.epson.ssf
.es3, .et3|application/vnd.eszigno3+xml
.ez2|application/vnd.ezpix-album
.ez3|application/vnd.ezpix-package
.fdf|application/vnd.fdf
.mseed|application/vnd.fdsn.mseed
.dataless, .seed|application/vnd.fdsn.seed
.gph|application/vnd.flographit
.ftc|application/vnd.fluxtime.clip
.book, .fm, .frame, .maker|application/vnd.framemaker
.fnc|application/vnd.frogans.fnc
.ltf|application/vnd.frogans.ltf
.fsc|application/vnd.fsc.weblaunch
.oas|application/vnd.fujitsu.oasys
.oa2|application/vnd.fujitsu.oasys2
.oa3|application/vnd.fujitsu.oasys3
.fg5|application/vnd.fujitsu.oasysgp
.bh2|application/vnd.fujitsu.oasysprs
.ddd|application/vnd.fujixerox.ddd
.xdw|application/vnd.fujixerox.docuworks
.xbd|application/vnd.fujixerox.docuworks.binder
.fzs|application/vnd.fuzzysheet
.txd|application/vnd.genomatix.tuxedo
.ggb|application/vnd.geogebra.file
.ggt|application/vnd.geogebra.tool
.gex, .gre|application/vnd.geometry-explorer
.gbr|application/vnd.gerber
.gmx|application/vnd.gmx
.kml|application/vnd.google-earth.kml+xml
.kmz|application/vnd.google-earth.kmz
.gqf, .gqs|application/vnd.grafeq
.gac|application/vnd.groove-account
.ghf|application/vnd.groove-help
.gim|application/vnd.groove-identity-message
.grv|application/vnd.groove-injector
.gtm|application/vnd.groove-tool-message
.tpl|application/vnd.groove-tool-template
.vcg|application/vnd.groove-vcard
.zmm|application/vnd.handheld-entertainment+xml
.hbci|application/vnd.hbci
.les|application/vnd.hhe.lesson-player
.hpgl|application/vnd.hp-hpgl
.hpid|application/vnd.hp-hpid
.hps|application/vnd.hp-hps
.jlt|application/vnd.hp-jlyt
.pcl|application/vnd.hp-pcl
.pclxl|application/vnd.hp-pclxl
.sfd-hdstx|application/vnd.hydrostatix.sof-data
.x3d|application/vnd.hzn-3d-crossword
.mpy|application/vnd.ibm.minipay
.afp, .list3820, .listafp|application/vnd.ibm.modcap
.irm|application/vnd.ibm.rights-management
.sc|application/vnd.ibm.secure-container
.icc, .icm|application/vnd.iccprofile
.igl|application/vnd.igloader
.ivp|application/vnd.immervision-ivp
.ivu|application/vnd.immervision-ivu
.xpw, .xpx|application/vnd.intercon.formnet
.qbo|application/vnd.intu.qbo
.qfx|application/vnd.intu.qfx
.rcprofile|application/vnd.ipunplugged.rcprofile
.irp|application/vnd.irepository.package+xml
.xpr|application/vnd.is-xpr
.jam|application/vnd.jam
.rms|application/vnd.jcp.javame.midlet-rms
.jisp|application/vnd.jisp
.joda|application/vnd.joost.joda-archive
.ktr, .ktz|application/vnd.kahootz
.karbon|application/vnd.kde.karbon
.chrt|application/vnd.kde.kchart
.kfo|application/vnd.kde.kformula
.flw|application/vnd.kde.kivio
.kon|application/vnd.kde.kontour
.kpr, .kpt|application/vnd.kde.kpresenter
.ksp|application/vnd.kde.kspread
.kwd, .kwt|application/vnd.kde.kword
.htke|application/vnd.kenameaapp
.kia|application/vnd.kidspiration
.kne, .knp|application/vnd.kinar
.skd, .skm, .skp, .skt|application/vnd.koan
.sse|application/vnd.kodak-descriptor
